Intersection:,,BONANZA & BUSINESS DRIVEWAY,,,,,,,,,,,,Daily total:,,,,,,,,,,
Date:,,4/18/07,,,,,,,,,,,,E-W:,,20200,,,,24hr,,21625,,
Counted By:,,jd,,,,,,,,,,,,N-S:,,1425,,,,total,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,TONOPAH,,,,,,BONANZA,,,,,,BUSINESS DRIVEWAY,,,,,,BONANZA,,,,
,,Southbound,,,,,,Westbound,,,,,,Northbound,,,,,,Eastbound,,,,
End Time,,Left Turn,Through,Right Turn,Peds,Approach Total,,Left Turn,Through,Right Turn,Peds,Approach Total,,Left Turn,Through,Right Turn,Peds,Approach Total,,Left Turn,Through,Right Turn,Peds,Approach Total
7:15 AM,,37,2,29,2,68,,0,83,6,0,89,,0,0,0,0,0,,5,110,0,0,115
7:30 AM,,41,0,19,1,60,,2,69,13,0,84,,0,0,0,0,0,,0,141,3,1,144
7:45 AM,,49,2,27,3,78,,0,94,10,1,104,,0,0,1,0,1,,1,141,1,0,143
8:00 AM,,67,1,33,1,101,,0,105,13,0,118,,1,0,0,0,1,,4,155,2,1,161
Hourly Total,,194,5,108,7,307,,2,351,42,1,395,,1,0,1,0,2,,10,547,6,2,563
Percentage,,63.2%,1.6%,35.2%,,,,0.5%,88.9%,10.6%,,,,50.0%,n/a,50.0%,,,,1.8%,97.2%,1.1%,,
Peak Hour Factor,,0.72,0.63,0.82,,0.76,,0.25,0.84,0.81,,0.84,,0.25,n/a,0.25,,0.50,,0.50,0.88,0.50,,0.87
LT X-Product,,388,,,,,,"1,126",,,,,,307,,,,,,"3,950",,,,
,,# thru lanes =,,1,,,,# thru lanes =,,2,,,,# thru lanes =,,1,,,,# thru lanes =,,2,,
End Time,,Left Turn,Through,Right Turn,Peds,Approach Total,,Left Turn,Through,Right Turn,Peds,Approach Total,,Left Turn,Through,Right Turn,Peds,Approach Total,,Left Turn,Through,Right Turn,Peds,Approach Total
12:15 PM,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0
12:30 PM,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0
12:45 PM,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0
1:00 PM,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0
Hourly Total,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0
Percentage,,n/a,n/a,n/a,,,,n/a,n/a,n/a,,,,n/a,n/a,n/a,,,,n/a,n/a,n/a,,
Peak Hour Factor,,n/a,n/a,n/a,,n/a,,n/a,n/a,n/a,,n/a,,n/a,n/a,n/a,,n/a,,n/a,n/a,n/a,,n/a
LT X-Product,,n/a,,,,,,n/a,,,,,,n/a,,,,,,n/a,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
End Time,,Left Turn,Through,Right Turn,Peds,Approach Total,,Left Turn,Through,Right Turn,Peds,Approach Total,,Left Turn,Through,Right Turn,Peds,Approach Total,,Left Turn,Through,Right Turn,Peds,Approach Total
5:15 PM,,19,0,8,3,27,,0,198,19,0,217,,0,0,0,0,0,,22,130,0,0,152
5:30 PM,,22,0,9,10,31,,1,260,39,1,300,,0,1,1,0,2,,22,151,2,0,175
5:45 PM,,17,0,8,3,25,,1,217,29,0,247,,0,0,1,0,1,,12,139,0,2,151
6:00 PM,,19,0,9,2,28,,0,211,24,0,235,,0,0,0,0,0,,13,126,0,0,139
Hourly Total,,77,0,34,18,111,,2,886,111,1,999,,0,1,2,0,3,,69,546,2,2,617
Percentage,,69.4%,n/a,30.6%,,,,0.2%,88.7%,11.1%,,,,n/a,33.3%,66.7%,,,,11.2%,88.5%,0.3%,,
Peak Hour Factor,,0.88,n/a,0.94,,0.90,,0.50,0.85,0.71,,0.83,,n/a,0.25,0.50,,0.38,,0.78,0.90,0.25,,0.88
LT X-Product,,231,,,,,,"1,234",,,,,,n/a,,,,,,"68,931",,,,
